geoId,month,cases,deaths,homecontinent,latitude,longitude
AD,3,370,8,Europe,42.546245,1.601554
AD,4,373,34,Europe,42.546245,1.601554
AD,5,21,9,Europe,42.546245,1.601554
AD,6,91,1,Europe,42.546245,1.601554
AD,7,67,0,Europe,42.546245,1.601554
AD,8,202,1,Europe,42.546245,1.601554
AD,9,842,0,Europe,42.546245,1.601554
AD,10,2699,22,Europe,42.546245,1.601554
AD,11,2047,1,Europe,42.546245,1.601554
AD,12,626,3,Europe,42.546245,1.601554
AE,1,4,0,Asia,23.424076,53.847818
AE,2,17,0,Asia,23.424076,53.847818
AE,3,590,5,Asia,23.424076,53.847818
AE,4,11318,93,Asia,23.424076,53.847818
AE,5,21967,164,Asia,23.424076,53.847818
AE,6,14350,52,Asia,23.424076,53.847818
AE,7,12260,37,Asia,23.424076,53.847818
AE,8,9184,31,Asia,23.424076,53.847818
AE,9,23400,34,Asia,23.424076,53.847818
AE,10,38418,74,Asia,23.424076,53.847818
AE,11,36245,80,Asia,23.424076,53.847818
AE,12,17196,47,Asia,23.424076,53.847818
AF,1,0,0,Asia,33.93911,67.709953
AF,2,1,0,Asia,33.93911,67.709953
AF,3,140,4,Asia,33.93911,67.709953
AF,4,1808,56,Asia,33.93911,67.709953
AF,5,12576,189,Asia,33.93911,67.709953
AF,6,16713,484,Asia,33.93911,67.709953
AF,7,5304,538,Asia,33.93911,67.709953
AF,8,1620,131,Asia,33.93911,67.709953
AF,9,1092,56,Asia,33.93911,67.709953
AF,10,2171,78,Asia,33.93911,67.709953
AF,11,4419,227,Asia,33.93911,67.709953
AF,12,3429,208,Asia,33.93911,67.709953
AG,3,7,0,North America,17.060816,-61.79642800000001
AG,4,17,3,North America,17.060816,-61.79642800000001
AG,5,1,0,North America,17.060816,-61.79642800000001
AG,6,41,0,North America,17.060816,-61.79642800000001
AG,7,25,0,North America,17.060816,-61.79642800000001
AG,8,3,0,North America,17.060816,-61.79642800000001
AG,9,7,0,North America,17.060816,-61.79642800000001
AG,10,26,0,North America,17.060816,-61.79642800000001
AG,11,14,1,North America,17.060816,-61.79642800000001
AG,12,7,0,North America,17.060816,-61.79642800000001
AL,3,223,12,Europe,41.153332,20.168331
AL,4,543,19,Europe,41.153332,20.168331
AL,5,356,2,Europe,41.153332,20.168331
AL,6,1344,25,Europe,41.153332,20.168331
AL,7,2731,96,Europe,41.153332,20.168331
AL,8,4183,126,Europe,41.153332,20.168331
AL,9,4138,104,Europe,41.153332,20.168331
AL,10,7116,118,Europe,41.153332,20.168331
AL,11,16991,296,Europe,41.153332,20.168331
AL,12,10905,205,Europe,41.153332,20.168331
AM,1,0,0,Asia,40.069099,45.038189
AM,2,0,0,Asia,40.069099,45.038189
AM,3,532,3,Asia,40.069099,45.038189
AM,4,1534,29,Asia,40.069099,45.038189
AM,5,7216,99,Asia,40.069099,45.038189
AM,6,16260,312,Asia,40.069099,45.038189
AM,7,13008,295,Asia,40.069099,45.038189
AM,8,5200,139,Asia,40.069099,45.038189
AM,9,6151,81,Asia,40.069099,45.038189
AM,10,39912,383,Asia,40.069099,45.038189
AM,11,45311,823,Asia,40.069099,45.038189
AM,12,13558,339,Asia,40.069099,45.038189
AO,3,7,2,Africa,-11.202692,17.873887
AO,4,20,0,Africa,-11.202692,17.873887
AO,5,57,2,Africa,-11.202692,17.873887
AO,6,192,7,Africa,-11.202692,17.873887
AO,7,802,37,Africa,-11.202692,17.873887
AO,8,1546,59,Africa,-11.202692,17.873887
AO,9,2281,72,Africa,-11.202692,17.873887
AO,10,5364,96,Africa,-11.202692,17.873887
AO,11,4834,71,Africa,-11.202692,17.873887
AO,12,1085,25,Africa,-11.202692,17.873887
AR,3,966,24,South America,-38.416097,-63.616672
AR,4,3306,190,South America,-38.416097,-63.616672
AR,5,11929,314,South America,-38.416097,-63.616672
AR,6,46054,752,South America,-38.416097,-63.616672
AR,7,116728,2031,South America,-38.416097,-63.616672
AR,8,222243,5090,South America,-38.416097,-63.616672
AR,9,335370,8118,South America,-38.416097,-63.616672
AR,10,420570,14273,South America,-38.416097,-63.616672
AR,11,261628,7681,South America,-38.416097,-63.616672
AR,12,79366,2293,South America,-38.416097,-63.616672
AT,1,0,0,Europe,47.516231,14.550072
AT,2,7,0,Europe,47.516231,14.550072
AT,3,9611,108,Europe,47.516231,14.550072
AT,4,5746,472,Europe,47.516231,14.550072
AT,5,1274,88,Europe,47.516231,14.550072
AT,6,1028,35,Europe,47.516231,14.550072
AT,7,3343,15,Europe,47.516231,14.550072
AT,8,6209,15,Europe,47.516231,14.550072
AT,9,17389,63,Europe,47.516231,14.550072
AT,10,56836,283,Europe,47.516231,14.550072
