cases,deaths,geoId,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,homecontinent
746,6,AF,9.01377925,Asia
788,14,AL,380.97041427,Europe
464,12,DZ,22.95075281,Africa
50,1,AD,821.77035063,Europe
27,5,AO,3.40923741,Africa
0,0,AI,40.34427111,North America
0,0,AG,7.20794934,North America
3558,98,AR,177.23270138,South America
357,17,AM,458.39238767,Asia
5,0,AW,198.47615464,North America
6,0,AU,0.54754952,Oceania
3005,45,AT,472.45809946,Europe
4451,39,AZ,574.05068752,Asia
15,0,BS,45.70125755,North America
178,0,BH,143.55664638,Asia
1355,32,BD,17.25032822,Asia
0,0,BB,5.92291156,North America
1961,9,BY,267.51910545,Europe
2,6,BE,268.2375194,Europe
122,3,BZ,909.95027552,North America
0,0,BJ,0.98295497,Africa
40,0,BM,287.96314072,North America
1,0,BT,5.50390909,Asia
120,4,BO,21.95759232,South America
0,0,BQ,46.18404341,North America
811,38,BA,416.32863758,Europe
0,0,BW,108.91160883,Africa
21825,279,BR,278.23422805,South America
0,0,VG,9.98901209,North America
0,0,BN,0.46157823,Asia
497,62,BG,528.03991521,Europe
136,0,BF,5.77716586,Africa
1,0,BI,0.41628446,Africa
0,0,KH,0.21835992,Asia
0,0,CM,3.96500485,Africa
5891,81,CA,241.81365938,North America
55,0,CV,151.10849262,Africa
0,0,KY,36.95263903,North America
0,0,CF,0.48470247,Africa
19,0,TD,0.55183201,Africa
2138,40,CL,113.38624058,South America
12,0,CN,0.01443732,Asia
8702,187,CO,233.21275128,South America
0,0,KM,1.99790572,Africa
0,0,CG,5.11104536,Africa
0,0,CR,274.46919413,North America
41,0,CI,1.43876197,Africa
3363,78,HR,1208.80830058,Europe
69,0,CU,10.49986041,North America
48,1,CW,771.00530525,North America
301,1,CY,538.64657911,Europe
2000,74,CZ,576.12349528,Europe
52,4,CD,2.08663227,Africa
2642,6,DK,523.69231501,Europe
3,0,DJ,5.23852224,Africa
0,0,DM,2.78520499,North America
1107,1,DO,104.47010822,North America
586,1,EC,57.51811493,South America
486,22,EG,6.01067402,Africa
486,5,SV,53.84633264,North America
0,0,GQ,2.35991333,Africa
0,0,ER,3.83172768,Africa
342,1,EE,453.11815945,Europe
54,0,SZ,31.18105655,Africa
472,3,ET,6.45528388,Africa
0,0,FK,59.31198102,South America
3,0,FO,53.41331635,Europe
2,0,FJ,0.44946093,Oceania
360,0,FI,112.01686723,Europe
11533,150,FR,236.32620014,Europe
0,0,PF,544.9630306,Oceania
0,0,GA,6.3979291,Africa
2,0,GM,2.04455773,Africa
1337,49,GE,1388.09866587,Asia
16362,188,DE,341.13669567,Europe
81,0,GH,4.75049887,Africa
3,0,GI,180.97668071,Europe
0,0,GL,1.76491352,North America
26,0,GD,24.99955358,North America
16,1,GU,172.15099076,Oceania
183,18,GT,41.5835394,North America
0,0,GG,4.65347149,Europe
0,0,GN,2.98326412,Africa
0,0,GW,1.14528634,Africa
41,1,GY,69.49634314,South America
74,1,HT,2.67244863,North America
0,0,VA,0.0,Europe
316,1,HN,66.3956869,North America
3470,165,HU,683.00078299,Europe
5,0,IS,49.30096277,Europe
27071,336,IN,33.10912772,Asia
6189,166,ID,30.87439259,Asia
7451,247,IR,192.39236541,Asia
1012,14,IQ,61.55973007,Asia
429,1,IE,80.42020782,Europe
0,0,IM,1.18218681,Europe
1844,16,IL,256.81467404,Asia
17937,484,IT,428.32330117,Europe
102,2,JM,33.95203368,North America
2366,23,JP,25.92852158,Asia
91,0,JE,789.45415414,Europe
2339,30,JO,448.50880006,Asia
764,0,KZ,67.22393554,Asia
366,1,KE,16.31225584,Africa
462,12,XK,418.29162649,Europe
174,0,KW,90.13383877,Asia
318,5,KG,75.85899361,Asia
0,0,LA,0.02789612,Asia
629,25,LV,453.13255221,Europe
1275,10,LB,285.54304157,Asia
0,0,LS,6.63446052,Africa
0,0,LR,1.64054819,Africa
899,21,LY,123.18787013,Africa
12,0,LI,627.96393767,Europe
1920,10,LT,1205.93346752,Europe
517,4,LU,1188.96747647,Europe
